machine_id,start_time,end_time,production_counter,duration_sec,max_pressure,is_valid,is_test_run
2호기(창녕),2025-12-01T22:03:22.970000+00:00,2025-12-01T22:03:23.264000+00:00,,0.294,82.8,False,True
2호기(창녕),2025-12-01T22:03:23.970000+00:00,2025-12-01T22:03:24.276000+00:00,,0.306,82.8,False,True
2호기(창녕),2025-12-01T22:03:24.970000+00:00,2025-12-01T22:03:25.278000+00:00,,0.308,82.0,False,True
2호기(창녕),2025-12-01T22:03:25.980000+00:00,2025-12-01T22:03:26.280000+00:00,,0.3,81.3,False,True
2호기(창녕),2025-12-01T22:03:26.980000+00:00,2025-12-01T22:03:27.283000+00:00,,0.303,81.3,False,True
2호기(창녕),2025-12-01T22:03:28+00:00,2025-12-01T22:03:28.288000+00:00,,0.288,81.4,False,True
2호기(창녕),2025-12-01T22:03:29.020000+00:00,2025-12-01T22:03:29.296000+00:00,,0.276,81.4,False,True
2호기(창녕),2025-12-01T22:04:01.870000+00:00,2025-12-01T22:04:02.099000+00:00,,0.229,47.3,False,True
2호기(창녕),2025-12-01T22:04:02.860000+00:00,2025-12-01T22:04:03.022000+00:00,,0.162,47.3,False,True
2호기(창녕),2025-12-01T22:04:03.880000+00:00,2025-12-01T22:04:04.169000+00:00,,0.289,94.1,False,True
2호기(창녕),2025-12-01T22:04:04.880000+00:00,2025-12-01T22:04:05.129000+00:00,11.0,0.249,94.1,False,True
2호기(창녕),2025-12-01T22:04:05.860000+00:00,2025-12-01T22:04:06.265000+00:00,,0.405,140.9,False,True
2호기(창녕),2025-12-01T22:04:06.870000+00:00,2025-12-01T22:04:07.266000+00:00,,0.396,140.9,False,True
2호기(창녕),2025-12-01T22:04:07.860000+00:00,2025-12-01T22:04:08.292000+00:00,,0.432,154.9,False,True
2호기(창녕),2025-12-01T22:04:08.890000+00:00,2025-12-01T22:04:09.307000+00:00,,0.417,153.7,False,True
2호기(창녕),2025-12-01T22:04:09.880000+00:00,2025-12-01T22:04:10.212000+00:00,11.0,0.332,153.7,False,True
2호기(창녕),2025-12-01T22:04:10.940000+00:00,2025-12-01T22:04:11.087000+00:00,,0.147,150.0,False,True
2호기(창녕),2025-12-01T22:04:11.870000+00:00,2025-12-01T22:04:12.017000+00:00,,0.147,150.0,False,True
2호기(창녕),2025-12-01T22:04:12.910000+00:00,2025-12-01T22:04:13.051000+00:00,,0.141,146.6,False,True
2호기(창녕),2025-12-01T22:04:13.920000+00:00,2025-12-01T22:04:14.161000+00:00,,0.241,146.6,False,True
2호기(창녕),2025-12-01T22:04:14.970000+00:00,2025-12-01T22:04:15.192000+00:00,,0.222,143.7,False,True
2호기(창녕),2025-12-01T22:04:15.890000+00:00,2025-12-01T22:04:16.110000+00:00,11.0,0.22,143.7,False,True
2호기(창녕),2025-12-01T22:04:16.900000+00:00,2025-12-01T22:04:17.117000+00:00,11.0,0.217,141.1,False,True
2호기(창녕),2025-12-01T22:04:17.930000+00:00,2025-12-01T22:04:18.118000+00:00,11.0,0.188,139.2,False,True
